Loyalty Number,churn_risk_score,blended_churn,hard_churn,behavioral_churn,was_active_2017,in_training_cohort
480934,0.023666015935511386,0,0,0,1,1
549612,0.0206580959950011,0,0,0,1,1
429460,0.024794702038588676,1,1,0,1,1
608370,0.015709399628198527,0,0,0,1,1
530508,0.024561165636858118,0,0,0,1,1
193662,0.007519245473033424,0,0,0,1,1
927943,0.02145968646117915,0,0,0,1,1
188893,0.024222680741732203,0,0,0,1,1
852392,0.02194960296243033,0,0,0,1,1
866307,0.03995555517110769,0,0,0,1,1
932823,0.02571917501674305,0,0,0,1,1
144514,0.032935806497965514,0,0,0,1,1
611765,0.2155467197789668,0,0,0,0,0
988178,0.027353231830835625,0,0,0,1,1
286114,0.024981267719206567,0,0,0,1,1
205785,0.02440329320701039,0,0,0,1,1
735304,0.03705858895019049,0,0,0,1,1
438936,0.025220806848215583,0,0,0,1,1
172755,0.215261067196287,0,0,0,0,0
354730,0.022508503551091914,1,1,1,1,1
413741,0.02715963997106346,0,0,0,1,1
552965,0.1790735835060406,0,0,0,0,0
642313,0.023743767730107928,0,0,0,1,1
263080,0.03679409640837091,0,0,0,1,1
109767,0.024216779210790497,0,0,0,1,1
217754,0.029777988079693014,0,0,0,1,1
157005,0.024926625834120957,0,0,0,1,1
557752,0.133083591568329,0,0,0,1,1
608758,0.019740751424983386,0,0,0,1,1
599341,0.0245746632108021,0,0,0,1,1
333502,0.032296570324496045,0,0,0,1,1
403361,0.10664668972142421,0,0,0,1,1
543918,0.00894746147584428,0,0,0,1,1
806030,0.17267310067510436,0,0,0,0,0
119200,0.08637603657123305,0,0,0,1,1
938981,0.215261067196287,0,0,0,0,0
238119,0.022202873277161573,0,0,0,1,1
730388,0.0138268025141251,0,0,0,1,1
127400,0.030435274435634117,0,0,0,1,1
324557,0.01935213163895299,0,0,0,1,1
742002,0.03238647221153357,0,0,0,1,1
536567,0.035018011916133136,0,0,0,1,1
704835,0.026591371003754014,0,0,0,1,1
758635,0.1790735835060406,0,0,0,0,0
823048,0.17387451273709756,0,0,0,0,0
612905,0.022740269871541957,0,0,0,1,1
679908,0.02281439118754655,0,0,0,1,1
704150,0.023969924779035312,0,0,0,1,1
596179,0.043824440851600574,0,0,0,1,1
370450,0.009989114993702392,0,0,0,1,1
501030,0.03259385941540634,0,0,0,1,1
878633,0.025471041897533995,0,0,0,1,1
285938,0.023115045876267528,0,0,0,1,1
588237,0.02764762159518908,0,0,0,1,1
645280,0.014307953310787434,0,0,0,1,1
864324,0.19457333056572734,0,0,0,1,0
124678,0.02221453933959848,0,0,0,1,1
186015,0.023939972066021588,0,0,0,1,1
461108,0.2155467197789668,0,0,0,0,0
589580,0.028560675052564714,0,0,0,1,1
623688,0.026660212529807922,0,0,0,1,1
386082,0.2175823792333842,1,1,0,0,0
256147,0.01106942789591309,0,0,0,1,1
329382,0.9656372523150991,1,0,1,0,1
140392,0.03300784844962641,0,0,0,1,1
112522,0.17112238262404106,0,0,0,0,0
230908,0.01055883718089682,0,0,0,1,1
972581,0.028544163248463424,0,0,0,1,1
357549,0.1676219129436931,1,0,1,0,0
330694,0.2462439858563222,0,0,0,0,0
910875,0.07766053910425773,0,0,0,1,1
501704,0.024199690825396313,0,0,0,1,1
529098,0.11147304874519483,0,0,0,1,1
265297,0.20646650844652964,0,0,0,0,0
567875,0.11096624881862031,0,0,0,1,1
688524,0.020305167441721443,0,0,0,1,1
269070,0.010724564969232495,0,0,0,1,1
387705,0.02741999175115268,0,0,0,1,1
923293,0.029086264831934515,0,0,0,1,1
789157,0.1676219129436931,0,0,0,0,0
984713,0.20463531076357552,0,0,0,0,0
114835,0.10508341745630337,0,0,0,1,1
328936,0.03281896250414295,0,0,0,1,1
845864,0.022443637784002417,0,0,0,1,1
645265,0.017788955069130745,0,0,0,1,1
223587,0.08451877104977802,0,0,0,1,1
158560,0.019851984073820755,0,0,0,1,1
417584,0.029318839570331063,0,0,0,1,1
472521,0.22281501033613754,0,0,0,0,0
425854,0.018234054357812703,0,0,0,1,1
695855,0.018133630264922908,0,0,0,1,1
699511,0.025493350962185288,0,0,0,1,1
377322,0.028405577429816316,0,0,0,1,1
511053,0.02083015371687659,0,0,0,1,1
890753,0.07268303169917376,0,0,0,1,1
796670,0.04576383185093549,0,0,0,1,1
556136,0.03110091358890688,0,0,0,1,1
513081,0.02259347168706513,0,0,0,1,1
930718,0.02656557482111416,0,0,0,1,1
235872,0.02115157883423144,0,0,0,1,1
295147,0.07768941011457609,0,0,0,1,1
306110,0.019941895917799886,0,0,0,1,1
295217,0.01838723674756483,0,0,0,1,1
967300,0.17112238262404106,1,1,0,0,0
591731,0.0225820748443596,0,0,0,1,1
326905,0.03240021767667356,0,0,0,1,1
375511,0.035197746819349354,0,0,0,1,1
485283,0.10220215114312749,0,0,0,1,1
920716,0.215261067196287,0,0,0,0,0
797685,0.07483925207549773,0,0,0,1,1
216467,0.02083015371687659,0,0,0,1,1
958839,0.2155467197789668,0,0,0,0,0
539673,0.030009347245825543,1,1,0,1,1
746226,0.1676219129436931,0,0,0,0,0
484718,0.023510092065929064,0,0,0,1,1
528492,0.029601455447420287,1,1,0,1,1
995091,0.15685598485084917,0,0,0,0,1
632793,0.027922745867519725,0,0,0,1,1
382197,0.3434426728584855,1,1,0,1,1
705196,0.04769673309015264,0,0,0,1,1
123094,0.20233749659674605,0,0,0,0,0
366540,0.2462439858563222,0,0,0,0,0
119488,0.18079655358474953,0,0,0,1,1
287750,0.010561065217787994,0,0,0,1,1
735846,0.01391823982596261,0,0,0,1,1
606026,0.027953712688110206,0,0,0,1,1
460291,0.020915876953614337,0,0,0,1,1
743001,0.10060970151876301,0,0,0,1,1
869799,0.03265907174930194,0,0,0,1,1
279419,0.03457331796072968,0,0,0,1,1
170585,0.025869933483858482,0,0,0,1,1
188340,0.03176313607702446,0,0,0,1,1
670817,0.027983399977323867,0,0,0,1,1
509513,0.014563788729166348,0,0,0,1,1
779247,0.01273998426203546,0,0,0,1,1
111255,0.021204624885860456,0,0,0,1,1
763061,0.026646383711901245,0,0,0,1,1
766335,0.17112238262404106,0,0,0,0,0
428919,0.02028744236681862,0,0,0,1,1
139863,0.029703403438420657,0,0,0,1,1
695755,0.9644301495800426,1,0,1,0,1
355331,0.023336983229088327,0,0,0,1,1
578837,0.010979758203569511,0,0,0,1,1
467182,0.029557457870612692,1,1,0,1,1
601407,0.05584294178497863,0,0,0,1,1
700871,0.0273445603538604,0,0,0,1,1
203809,0.960500772059878,1,0,1,0,1
705589,0.011534729747642808,0,0,0,1,1
354438,0.1790735835060406,0,0,0,0,0
746060,0.023965520283679716,0,0,0,1,1
469718,0.013213372828516203,0,0,0,1,1
164429,0.012703525221347956,0,0,0,1,1
708373,0.0331849033914495,0,0,0,1,1
225088,0.02981536308599406,0,0,0,1,1
