feature,importance
recency_months,0.42574247372807855
tenure_years,0.3999601897608284
distance_per_flight,0.03469548436699396
total_distance,0.0335729961591475
total_points_accumulated,0.02062014829569751
Salary,0.017786910177655765
momentum,0.009865236760085902
redemption_rate,0.009038978699131225
redemption_momentum,0.006190967895988886
avg_flights_per_active_month,0.006131963856078707
total_points_redeemed,0.00564746298969665
Province_Ontario,0.004934868718121017
pct_months_active,0.0030984774771985212
h1_flights,0.00293687715714135
flight_volatility,0.002746387215833936
total_flights,0.0020503968679050073
Province_Prince Edward Island,0.0017263547924900513
h2_flights,0.0017106492851305158
total_dollar_redeemed,0.0016762592806874122
Gender_Male,0.001636318113608877
active_months,0.001476243567393718
Marital Status_Single,0.0012967117999477128
Province_British Columbia,0.0008783412907241122
Province_Newfoundland,0.0008671395269144211
Loyalty Card_Nova,0.0007409105261856164
Loyalty Card_Star,0.0006482791258562478
Province_Alberta,0.0006110450035128921
salary_missing,0.0005322591136038058
Marital Status_Divorced,0.000426578715629381
Province_Saskatchewan,0.00024175591177807027
Education_Master,0.0001850408908663715
Education_High School or Below,0.00018051904842704978
Province_Manitoba,9.04586424558189e-05
Province_Yukon,4.1733431008824797e-05
Gender_Female,7.27716418947143e-06
Loyalty Card_Aurora,5.557595193511917e-06
has_redeemed,7.470488131259619e-07
Marital Status_Married,0.0
Education_Bachelor,0.0
Education_College,0.0
Education_Doctor,0.0
Enrollment Type_Standard,0.0
Province_New Brunswick,0.0
Province_Nova Scotia,0.0
Province_Quebec,0.0
