Loyalty Number,Year,Month,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed,period
100018,2017,1,1,601,601.0,0,0,2017-01-01
100018,2017,2,0,0,0.0,0,0,2017-02-01
100018,2017,3,4,9648,9648.0,438,79,2017-03-01
100018,2017,4,1,1654,1654.0,0,0,2017-04-01
100018,2017,5,0,0,0.0,0,0,2017-05-01
100018,2017,6,1,2489,2489.0,0,0,2017-06-01
100018,2017,7,3,3687,3687.0,0,0,2017-07-01
100018,2017,8,3,7116,7116.0,690,124,2017-08-01
100018,2017,9,3,5751,5751.0,0,0,2017-09-01
100018,2017,10,2,3728,3728.0,0,0,2017-10-01
100018,2017,11,4,2028,2028.0,0,0,2017-11-01
100018,2017,12,2,1058,1058.0,0,0,2017-12-01
100018,2018,1,0,0,0.0,0,0,2018-01-01
100018,2018,2,2,4908,4908.0,0,0,2018-02-01
100018,2018,3,2,1414,1414.0,0,0,2018-03-01
100018,2018,4,1,731,731.0,0,0,2018-04-01
100018,2018,5,0,0,0.0,0,0,2018-05-01
100018,2018,6,0,0,0.0,0,0,2018-06-01
100018,2018,7,3,3972,3972.0,0,0,2018-07-01
100018,2018,8,0,0,0.0,0,0,2018-08-01
100018,2018,9,4,8932,8932.0,0,0,2018-09-01
100018,2018,10,2,4720,4720.0,385,69,2018-10-01
100018,2018,11,3,6693,6693.0,0,0,2018-11-01
100018,2018,12,5,12060,12060.0,0,0,2018-12-01
100102,2017,1,3,3030,3030.0,0,0,2017-01-01
100102,2017,2,0,0,0.0,0,0,2017-02-01
100102,2017,3,5,7675,7675.0,685,123,2017-03-01
100102,2017,4,3,7056,7056.0,0,0,2017-04-01
100102,2017,5,0,0,0.0,0,0,2017-05-01
100102,2017,6,0,0,0.0,0,0,2017-06-01
100102,2017,7,0,0,0.0,0,0,2017-07-01
100102,2017,8,4,6684,6684.0,0,0,2017-08-01
100102,2017,9,3,5040,5040.0,0,0,2017-09-01
100102,2017,10,1,1426,1426.0,0,0,2017-10-01
100102,2017,11,3,3810,3810.0,0,0,2017-11-01
100102,2017,12,3,5163,5163.0,510,92,2017-12-01
100102,2018,1,0,0,0.0,0,0,2018-01-01
100102,2018,2,2,3742,3742.0,0,0,2018-02-01
100102,2018,3,0,0,0.0,0,0,2018-03-01
100102,2018,4,3,1569,1569.0,0,0,2018-04-01
100102,2018,5,2,3236,3236.0,0,0,2018-05-01
100102,2018,6,2,1692,1692.0,0,0,2018-06-01
100102,2018,7,4,3512,3512.0,0,0,2018-07-01
100102,2018,8,0,0,0.0,0,0,2018-08-01
100102,2018,9,2,1780,1780.0,0,0,2018-09-01
100102,2018,10,3,6435,6435.0,0,0,2018-10-01
100102,2018,11,4,2432,2432.0,0,0,2018-11-01
100102,2018,12,4,4636,4636.0,0,0,2018-12-01
100140,2017,1,2,2500,2500.0,0,0,2017-01-01
100140,2017,2,0,0,0.0,0,0,2017-02-01
100140,2017,3,1,1059,1059.0,0,0,2017-03-01
100140,2017,4,4,5272,5272.0,0,0,2017-04-01
100140,2017,5,1,674,674.0,0,0,2017-05-01
100140,2017,6,0,0,0.0,0,0,2017-06-01
100140,2017,7,1,572,572.0,0,0,2017-07-01
100140,2017,8,2,4680,4680.0,0,0,2017-08-01
100140,2017,9,4,3292,3292.0,0,0,2017-09-01
100140,2017,10,0,0,0.0,0,0,2017-10-01
100140,2017,11,2,4448,4448.0,0,0,2017-11-01
100140,2017,12,5,9085,9085.0,0,0,2017-12-01
100140,2018,1,3,4371,4371.0,0,0,2018-01-01
100140,2018,2,0,0,0.0,0,0,2018-02-01
100140,2018,3,3,3195,3195.0,0,0,2018-03-01
100140,2018,4,0,0,0.0,0,0,2018-04-01
100140,2018,5,4,4936,4936.0,593,107,2018-05-01
100140,2018,6,4,8284,8284.0,0,0,2018-06-01
100140,2018,7,4,7984,7984.0,0,0,2018-07-01
100140,2018,8,0,0,0.0,0,0,2018-08-01
100140,2018,9,4,7232,7232.0,0,0,2018-09-01
100140,2018,10,1,1272,1272.0,0,0,2018-10-01
100140,2018,11,2,4000,4000.0,0,0,2018-11-01
100140,2018,12,0,0,0.0,0,0,2018-12-01
100214,2017,1,0,0,0.0,0,0,2017-01-01
100214,2017,2,2,3612,3612.0,0,0,2017-02-01
100214,2017,3,0,0,0.0,0,0,2017-03-01
100214,2017,4,0,0,0.0,0,0,2017-04-01
100214,2017,5,0,0,0.0,0,0,2017-05-01
100214,2017,6,0,0,0.0,459,83,2017-06-01
100214,2017,7,0,0,0.0,0,0,2017-07-01
