Loyalty Number,Country,Province,City,Gender,Education,Salary,salary_missing,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,tenure_years,total_flights,total_distance,total_points_accumulated,total_points_redeemed,total_dollar_redeemed,active_months,pct_months_active,avg_flights_per_active_month,flight_volatility,redemption_rate,has_redeemed,recency_months,h1_flights,h2_flights,momentum,redemption_momentum,distance_per_flight,hard_churn,behavioral_churn,blended_churn,total_flights_outcome,in_cohort,in_training_cohort,was_active_2017
480934,Canada,Ontario,Toronto,Female,Bachelor,83236.0,0,Married,Star,3839.14,Standard,2016,2,1.9137577002053388,18.0,25352.0,25352.0,322.0,58.0,7.0,0.5833333333333334,2.5714285714285716,1.6787441193290353,0.012701167560744714,1.0,0.0,9.0,9.0,0.0,322.0,1408.4444444444443,0,0,0,19,1,1,1
549612,Canada,Alberta,Edmonton,Male,College,,1,Divorced,Star,3839.61,Standard,2016,3,1.834360027378508,31.0,36136.0,36136.0,787.0,142.0,8.0,0.6666666666666666,3.875,2.0207259421636903,0.021778835510294442,1.0,1.0,15.0,16.0,1.0,787.0,1165.6774193548388,0,0,0,27,1,1,1
429460,Canada,British Columbia,Vancouver,Male,College,,1,Single,Star,3839.75,Standard,2014,7,3.5017111567419574,16.0,22957.0,22957.0,374.0,67.0,7.0,0.5833333333333334,2.2857142857142856,1.3706888336846839,0.01629132726401533,1.0,1.0,9.0,7.0,-2.0,-374.0,1434.8125,1,0,1,2,1,1,1
608370,Canada,Ontario,Toronto,Male,College,,1,Single,Star,3839.75,Standard,2013,2,4.91170431211499,24.0,33369.0,33369.0,864.0,156.0,9.0,0.75,2.6666666666666665,1.7580981459830651,0.025892295244088825,1.0,0.0,18.0,6.0,-12.0,-864.0,1390.375,0,0,0,11,1,1,1
530508,Canada,Quebec,Hull,Male,Bachelor,103495.0,0,Married,Star,3842.79,Standard,2014,10,3.249828884325804,11.0,19886.0,19886.0,0.0,0.0,4.0,0.3333333333333333,2.75,1.4433756729740645,0.0,0.0,1.0,5.0,6.0,1.0,0.0,1807.8181818181818,0,0,0,26,1,1,1
193662,Canada,Yukon,Whitehorse,Male,Bachelor,51124.0,0,Married,Star,3844.57,Standard,2012,5,5.66735112936345,52.0,84718.0,84718.0,854.0,154.0,11.0,0.9166666666666666,4.7272727272727275,3.3933982252531925,0.010080502372577257,1.0,0.0,23.0,29.0,6.0,34.0,1629.1923076923076,0,0,0,34,1,1,1
927943,Canada,Ontario,Toronto,Female,College,,1,Single,Star,3857.95,Standard,2014,6,3.583846680355921,16.0,21692.0,21692.0,1174.0,211.0,6.0,0.5,2.6666666666666665,1.8748737331221845,0.05412133505439794,1.0,1.0,11.0,5.0,-6.0,-64.0,1355.75,0,0,0,24,1,1,1
188893,Canada,Ontario,Trenton,Male,Bachelor,100159.0,0,Married,Star,3861.49,Standard,2016,12,1.08145106091718,23.0,42235.0,42235.0,334.0,60.0,8.0,0.6666666666666666,2.875,1.729862492345632,0.00790813306499349,1.0,1.0,17.0,6.0,-11.0,-334.0,1836.304347826087,0,0,0,18,1,1,1
852392,Canada,Quebec,Montreal,Female,Bachelor,100159.0,0,Married,Star,3861.49,Standard,2015,5,2.6694045174537986,20.0,36504.0,36504.0,990.0,179.0,7.0,0.5833333333333334,2.857142857142857,1.9694638556693236,0.027120315581854043,1.0,0.0,15.0,5.0,-10.0,-6.0,1825.2,0,0,0,7,1,1,1
866307,Canada,Ontario,Toronto,Male,Bachelor,100159.0,0,Married,Star,3861.49,Standard,2016,10,1.2484599589322383,23.0,28135.0,28135.0,1057.0,190.0,7.0,0.5833333333333334,3.2857142857142856,1.928651593652148,0.03756886440376755,1.0,1.0,19.0,4.0,-15.0,-69.0,1223.2608695652175,0,0,0,21,1,1,1
932823,Canada,British Columbia,Vancouver,Female,Bachelor,66444.0,0,Married,Star,3863.31,Standard,2015,3,2.836413415468857,25.0,45739.0,45739.0,499.0,90.0,9.0,0.75,2.7777777777777777,1.5642792899510296,0.010909726928879074,1.0,0.0,8.0,17.0,9.0,-499.0,1829.56,0,0,0,26,1,1,1
